recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,1.0,,,74.73561353108101,16.50871612996866,0.0,0.0,0.07791031564578434,4,0.0,0.0,0.0,0.0109690704224194,0.2897158006404323,1.8148836329328315,5.698399216655219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0mM dmso + 289.7mM ectoin + 1.81M ethylene_glycol + 5.7% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,3.0,,,74.15948377768959,16.463586114663837,0.0,0.0,0.14890723032262412,4,0.0,0.0,0.0,0.0209647962824634,0.2910963071201524,1.7855023516316384,5.387400101947973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0mM dmso + 291.1mM ectoin + 1.79M ethylene_glycol + 5.4% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,8.0,,,71.91254732234549,15.964878155497091,0.0,0.0,5.0,1,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0mM dmso,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_dmso_free_iteration_5_prior_mean.csv,6.0,,,73.20760967609579,16.616637364094487,0.0,0.0,0.05628252906526143,4,0.0,0.0,0.0,0.0079240729517199,0.3171239770604657,1.9194035735680952,2.5673625672293507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9mM dmso + 317.1mM ectoin + 1.92M ethylene_glycol + 2.6% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,12.0,,,71.42890475197015,15.987299848878498,0.0,0.0,5.0,2,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0mM dmso + 2.0% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,6,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,14.0,,,70.98461412206694,17.639193044717132,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.2436080928573321,1.7076846736235125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.6mM ectoin + 1.71M ethylene_glycol,Top BO exploitation candidate with strong predicted viability.
exploit,7,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,13.0,,,71.0786101530411,17.804298345130704,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.2687735217234123,1.9701275940891068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.8mM ectoin + 1.97M ethylene_glycol,Top BO exploitation candidate with strong predicted viability.
exploit,8,bo_candidate,bo_candidates_general_iteration_5_prior_mean.csv,20.0,,,66.68477857377158,17.10720054539712,0.0,0.0,5.0,2,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0mM dmso + 10.0% fbs,Top BO exploitation candidate with strong predicted viability.
explore,1,local_rank_probe,bo_candidates_dmso_free_iteration_5_prior_mean.csv,1.0,5.0,,74.20279106197424,15.83003595845817,2.991286034360871,0.12708046038928394,0.07791031564578434,4,0.0,0.0,0.0,0.0109690704224194,0.2897158006404323,1.6333952696395484,5.128559294989698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0mM dmso + 289.7mM ectoin + 1.63M ethylene_glycol + 5.1% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_5_prior_mean.csv rank 1; scaled fbs + ethylene_glycol down by 10%.
explore,2,local_rank_probe,bo_candidates_dmso_free_iteration_5_prior_mean.csv,1.0,5.0,,72.11729881172964,17.757716051123946,2.991286034360871,0.12708046038928394,0.07791031564578434,4,0.0,0.0,0.0,0.0109690704224194,0.2897158006404323,1.9963719962261148,6.268239138320742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs,Local rank-resolution probe around exploit anchor bo_candidates_dmso_free_iteration_5_prior_mean.csv rank 1; scaled fbs + ethylene_glycol up by 10%.
